Greek_Word	Ln_Decimal_Code	Total_Unique_References	Refs
Μακαρία	25.119	1	LUK 11:27!17
Μαλελεὴλ	93.248	1	LUK 3:37!8
Μαρία	93.253a	1	LUK 2:19!3
Μαρία	93.253c	2	LUK 24:10!5; LUK 8:2!12
Μαρία	93.253d	1	LUK 24:10!9
Μαρίας	93.253a	1	LUK 1:41!8
Μαριάμ	93.253a	4	LUK 1:27!16; LUK 1:30!8; LUK 1:38!3; LUK 1:46!3
Μαριάμ	93.253b	1	LUK 10:39!6
Μαριὰμ	93.253a	6	LUK 1:34!3; LUK 1:39!3; LUK 1:56!3; LUK 2:16!8; LUK 2:34!8; LUK 2:5!3
Μαριὰμ	93.253b	1	LUK 10:42!7
Ματταθίου	93.258a	1	LUK 3:25!2
Ματταθίου	93.258b	1	LUK 3:26!4
Ματταθὰ	93.257	1	LUK 3:31!6
Μεγαλύνει	33.358	1	LUK 1:46!4
Μελεὰ	93.259	1	LUK 3:31!2
Μελχὶ	93.260a	1	LUK 3:24!6
Μελχὶ	93.260b	1	LUK 3:28!2
Μεννὰ	93.262	1	LUK 3:31!4
Μενοῦν	89.128	1	LUK 11:28!4
Μενοῦν	89.50	1	LUK 11:28!4
Μενοῦν	91.8	1	LUK 11:28!4
Μετανοῶ	41.52	1	LUK 17:4!15
Μετὰ	67.48	2	LUK 10:1!1; LUK 1:24!1
Μεῖνον	85.55	1	LUK 24:29!5
Μηδένα	92.23	1	LUK 3:14!14
Μηδὲν	92.23	2	LUK 3:13!6; LUK 9:3!5
Μωϋσέα	93.266	1	LUK 16:29!5
Μωϋσέως	93.266	4	LUK 16:31!5; LUK 24:27!4; LUK 24:44!26; LUK 2:22!12
Μωϋσεῖ	93.266	1	LUK 9:33!29
Μωϋσῆς	93.266	4	LUK 20:28!3; LUK 20:37!7; LUK 5:14!21; LUK 9:30!9
Μὴ	69.3	15	LUK 12:32!1; LUK 18:20!10; LUK 18:20!4; LUK 18:20!6; LUK 18:20!8; LUK 1:13!7; LUK 1:30!6; LUK 20:16!15; LUK 2:10!6; LUK 5:10!21; LUK 5:34!6; LUK 7:13!12; LUK 8:50!7; LUK 8:52!10; LUK 9:50!7
Ναΐν	93.539	1	LUK 7:11!10
Ναασσὼν	93.267	1	LUK 3:32!10
Ναγγαὶ	93.268	1	LUK 3:25!10
Ναζαρά	93.536	1	LUK 4:16!4
Ναζαρέθ	93.536	1	LUK 2:39!17
Ναζαρηνέ	93.537	1	LUK 4:34!7
Ναζαρηνοῦ	93.537	1	LUK 24:19!13
Ναζαρὲθ	93.536	3	LUK 1:26!20; LUK 2:4!10; LUK 2:51!8
Ναζωραῖος	93.538	1	LUK 18:37!7
Ναθὰμ	93.269	1	LUK 3:31!8
Ναιμὰν	93.271	1	LUK 4:27!18
Ναοὺμ	93.272	1	LUK 3:25!6
Ναχὼρ	93.274	1	LUK 3:34!10
Νεανίσκε	9.32	1	LUK 7:14!12
Νηρὶ	93.277	1	LUK 3:27!10
Νινευίταις	93.544	1	LUK 11:30!6
Νινευῖται	93.544	1	LUK 11:32!2
Νῦν	67.38	1	LUK 11:39!7
Νῦν	67.39	1	LUK 2:29!1
Νῶε	93.285	3	LUK 17:26!7; LUK 17:27!9; LUK 3:36!8
Οἱ	92.24	4	LUK 20:34!6; LUK 22:25!5; LUK 5:33!1; LUK 5:33!6
