Term_Id	Term	Gloss	Domain	Refs
ἄκανθα	ἄκανθα	thorn plant; thistle; brier	weeds and thorns; trouble, hardship	LUK 6:44!24; LUK 8:7!14; LUK 8:7!22; LUK 8:14!10
ἅλυσις	ἅλυσις	chain	artifacts	LUK 8:29!36
ἅλων	ἅλων	threshing floor	constructions	LUK 3:17!20
ἄμεμπτος	ἄμεμπτος	faultless, blameless, innocent	morals and ethics	LUK 1:6!34
ἄμπελος	ἄμπελος	grapevine	fruits	LUK 22:18!30
Ἅννας	Ἅννας	Annas	person	LUK 3:2!6
Ἅννα	Ἅννα	Anna	person	LUK 2:36!6
ἄνομος-1	ἄνομος	lawless	morals and ethics; behavior	LUK 22:37!30
ἄπιστος	ἄπιστος	faithless; unbelieving	faith	LUK 9:41!16; LUK 12:46!54
ἄροτρον	ἄροτρον	plow	artifacts	LUK 9:62!24
ἄρχων-1	ἄρχων	ruler; leader; authority	people; authority	LUK 8:41!20; LUK 11:15!18; LUK 14:1!22; LUK 18:18!10; LUK 23:13!16; LUK 23:35!20; LUK 24:20!18
ἄρχων-2	ἄρχων	official; judge; magistrate	people; authority; court; law	LUK 12:58!18
ἄρωμα	ἄρωμα	aromatic salves; perfumed ointment	artifacts; perfumes and spices	LUK 23:56!8; LUK 24:1!30
ἄφεσις	ἄφεσις	forgiveness	atone, forgive	LUK 1:77!18; LUK 3:3!26; LUK 24:47!18
ἄχυρον	ἄχυρον	chaff	parts	LUK 3:17!44
ᾅδης	ᾅδης	world of the dead; Hades	universe	LUK 10:15!20; LUK 16:23!8
βαλλάντιον	βαλλάντιον	purse; money bag	artifacts	LUK 10:4!6; LUK 12:33!20; LUK 22:35!16; LUK 22:36!16
βαπτιστής	βαπτιστής	Baptist	rituals; people; titles	LUK 7:20!20; LUK 7:33!10; LUK 9:19!14
βαπτίζω	βαπτίζω	baptize	rituals	LUK 3:7!12; LUK 3:12!10; LUK 3:16!18; LUK 3:16!56; LUK 3:21!10; LUK 3:21!22; LUK 7:29!24; LUK 7:30!30; LUK 12:50!8
Βαραββᾶς	Βαραββᾶς	Barabbas	person	LUK 23:18!22
Βαρθολομαῖος	Βαρθολομαῖος	Bartholomew	person	LUK 6:14!36
βασιλεία	βασιλεία	kingdom; rule, reign	authority	LUK 1:33!24; LUK 4:5!16; LUK 4:43!30; LUK 6:20!38; LUK 7:28!30; LUK 8:1!34; LUK 8:10!20; LUK 9:2!12; LUK 9:11!28; LUK 9:27!38; LUK 9:60!32; LUK 9:62!42; LUK 10:9!28; LUK 10:11!44; LUK 11:2!28; LUK 11:17!20; LUK 11:18!24; LUK 11:20!30; LUK 12:31!8; LUK 12:32!28; LUK 13:18!14; LUK 13:20!14; LUK 13:28!46; LUK 13:29!32; LUK 14:15!30; LUK 16:16!22; LUK 17:20!18; LUK 17:20!38; LUK 17:21!20; LUK 18:16!44; LUK 18:17!18; LUK 18:24!34; LUK 18:25!26; LUK 18:29!48; LUK 19:11!42; LUK 19:12!24; LUK 19:15!18; LUK 21:10!18; LUK 21:10!22; LUK 21:31!26; LUK 22:16!28; LUK 22:18!38; LUK 22:29!20; LUK 22:30!22; LUK 23:42!20; LUK 23:51!38
βασιλεύς	βασιλεύς	king	people; authority	LUK 1:5!12; LUK 10:24!16; LUK 14:31!6; LUK 14:31!12; LUK 19:38!12; LUK 21:12!42; LUK 22:25!12; LUK 23:2!42; LUK 23:3!20; LUK 23:37!14; LUK 23:38!16
βασίλειον	βασίλειον	palace	constructions	LUK 7:25!40
βασίλισσα	βασίλισσα	queen	people; authority	LUK 11:31!2
βάπτισμα	βάπτισμα	baptism	rituals	LUK 3:3!20; LUK 7:29!28; LUK 12:50!2; LUK 20:4!4
βάτος	βάτος	thorn bush; bush	weeds and thorns	LUK 6:44!34; LUK 20:37!22
βδέλυγμα	βδέλυγμα	abomination	morals and ethics; clean, pure, holy	LUK 16:15!48
Βεελζεβούλ	Βεελζεβούλ	Beelzebul	supernatural beings and powers	LUK 11:15!14; LUK 11:18!34; LUK 11:19!10
βελόνη	βελόνη	needle	artifacts; tools	LUK 18:25!14
Βηθανία-2	Βηθανία	Bethany	settlement	LUK 19:29!16; LUK 24:50!14
Βηθλέεμ	Βηθλέεμ	Bethlehem	settlement	LUK 2:4!38; LUK 2:15!40
Βηθσαϊδά	Βηθσαϊδά	Bethsaida	settlement	LUK 9:10!36; LUK 10:13!12
Βηθφαγή	Βηθφαγή	Bethphage	settlement	LUK 19:29!12
βιβλίον	βιβλίον	scroll; roll; book	artifacts	LUK 4:17!8; LUK 4:17!22; LUK 4:20!8
βιωτικός	βιωτικός	(things of) of this life	life and death	LUK 21:34!30
βίβλος	βίβλος	scroll; roll; book	artifacts	LUK 3:4!8; LUK 20:42!12
βίος-1	βίος	property; means	possession	LUK 15:12!42; LUK 15:30!22; LUK 21:4!40
