Term_Id	Term	Gloss	Domain	Refs
μαθητής	μαθητής	disciple	teaching; people	LUK 5:30!22; LUK 5:33!14; LUK 6:1!24; LUK 6:13!14; LUK 6:17!24; LUK 6:20!18; LUK 6:40!6; LUK 7:11!30; LUK 7:18!10; LUK 7:18!30; LUK 8:9!10; LUK 8:22!28; LUK 9:14!20; LUK 9:16!42; LUK 9:18!26; LUK 9:40!8; LUK 9:43!38; LUK 9:54!8; LUK 10:23!10; LUK 11:1!32; LUK 11:1!58; LUK 12:1!30; LUK 12:22!10; LUK 14:26!74; LUK 14:27!30; LUK 14:33!34; LUK 16:1!12; LUK 17:1!10; LUK 17:22!10; LUK 18:15!26; LUK 19:29!36; LUK 19:37!34; LUK 19:39!28; LUK 20:45!16; LUK 22:11!40; LUK 22:39!34; LUK 22:45!18
Μαθθαῖος	Μαθθαῖος	Matthew	person	LUK 6:15!4
Μαθθάτ-1	Μαθθάτ	Matthat	person	LUK 3:24!4
Μαθθάτ-2	Μαθθάτ	Matthat	person	LUK 3:29!16
Μαθουσαλά	Μαθουσαλά	Methuselah	person	LUK 3:37!4
μακαρίζω	μακαρίζω	regard as happy, consider blessed, call blessed	attitudes and emotions; well-being; blessing and curse	LUK 1:48!28
μακάριος	μακάριος	happy, blessed; blessed one	attitudes and emotions; well-being; blessing and curse	LUK 1:45!4; LUK 6:20!24; LUK 6:21!2; LUK 6:21!14; LUK 6:22!2; LUK 7:23!4; LUK 10:23!18; LUK 11:27!34; LUK 11:28!10; LUK 12:37!2; LUK 12:38!28; LUK 12:43!2; LUK 14:14!4; LUK 14:15!18; LUK 23:29!16
Μαλελεήλ	Μαλελεήλ	Mahalaleel	person	LUK 3:37!16
Μαρία-1	Μαρία	Mary	person	LUK 1:27!32; LUK 1:30!16; LUK 1:34!6; LUK 1:38!6; LUK 1:39!6; LUK 1:41!16; LUK 1:46!6; LUK 1:56!6; LUK 2:5!6; LUK 2:16!16; LUK 2:19!6; LUK 2:34!16
Μαρία-2	Μαρία	Mary	person	LUK 10:39!12; LUK 10:42!10
Μαρία-3	Μαρία	Mary	person	LUK 8:2!24; LUK 24:10!10
Μαρία-4	Μαρία	Mary	person	LUK 24:10!18
μαρτυρέω	μαρτυρέω	bear witness; testify; be a witness; attest; affirm; confirm	communication; truth	LUK 4:22!6
μαρτυρία	μαρτυρία	testimony, witness, evidence; reputation	communication; truth	LUK 22:71!14
μαρτύριον	μαρτύριον	testimony; witness; evidence; proof; opportunity to testify	communication; truth	LUK 5:14!46; LUK 9:5!40; LUK 21:13!8
Ματταθά	Ματταθά	Mattatha	person	LUK 3:31!12
Ματταθίας-1	Ματταθίας	Mattathias	person	LUK 3:25!4
Ματταθίας-2	Ματταθίας	Mattathias	person	LUK 3:26!8
Μάαθ	Μάαθ	Maath	person	LUK 3:26!4
Μάρθα	Μάρθα	Martha	person	LUK 10:38!30; LUK 10:40!6; LUK 10:41!14; LUK 10:41!16
μάρτυς	μάρτυς	witness; martyr	communication; truth; people; violence, harm, destroy, kill	LUK 11:48!4; LUK 24:48!4
Μελεά	Μελεά	Melea	person	LUK 3:31!4
Μελχί-1	Μελχί	Melchi	person	LUK 3:24!12
Μελχί-2	Μελχί	Melchi	person	LUK 3:28!4
Μεννά	Μεννά	Menna	person	LUK 3:31!8
μεριστης	μεριστης	arbitrator	people; conflict; law	LUK 12:14!22
μετανοέω	μετανοέω	repent	attitudes and emotions; atone, forgive	LUK 10:13!54; LUK 11:32!30; LUK 13:3!14; LUK 13:5!14; LUK 15:7!26; LUK 15:10!28; LUK 16:30!30; LUK 17:3!24; LUK 17:4!30
μετάνοια	μετάνοια	repentance	attitudes and emotions; atone, forgive	LUK 3:3!22; LUK 3:8!12; LUK 5:32!16; LUK 15:7!46; LUK 24:47!14
μέτοχος	μέτοχος	partner; companion; partaker	people; fellowship	LUK 5:7!8
μίσθιος	μίσθιος	hired worker; hired person	authority; people; serve	LUK 15:17!14; LUK 15:19!24
μνᾶ	μνᾶ	quantity of money; one hundred denarii	artifacts; money	LUK 19:13!18; LUK 19:16!16; LUK 19:16!24; LUK 19:18!14; LUK 19:18!24; LUK 19:20!18; LUK 19:24!18; LUK 19:24!30; LUK 19:25!14
μνημεῖον	μνημεῖον	monument; memorial	constructions; honor, respect, status	LUK 11:44!14; LUK 11:47!12; LUK 23:55!28; LUK 24:2!16; LUK 24:9!10; LUK 24:12!16; LUK 24:22!26; LUK 24:24!18
μνηστεύω	μνηστεύω	be engaged (pass.)	marriage	LUK 1:27!6; LUK 2:5!10
μνῆμα	μνῆμα	grave; tomb	constructions	LUK 8:27!58; LUK 23:53!20; LUK 24:1!20
μοιχεύω	μοιχεύω	commit adultery	marriage; morals and ethics	LUK 16:18!20; LUK 16:18!34; LUK 18:20!10
μοιχός	μοιχός	adulterer	people; marriage; morals and ethics	LUK 18:11!44
μόδιος	μόδιος	basket; box	artifacts; containers	LUK 11:33!20
μόσχος	μόσχος	calf	mammals; domestic animals	LUK 15:23!8; LUK 15:27!32; LUK 15:30!38
μυλικός	μυλικός	of a mill	constructions; food	LUK 17:2!10
μύρον	μύρον	perfume; perfumed oil	artifacts; perfumes and spices	LUK 7:37!42; LUK 7:38!62; LUK 7:46!18; LUK 23:56!12
Μωϋσῆς	Μωϋσῆς	Moses	person	LUK 2:22!24; LUK 5:14!42; LUK 9:30!18; LUK 9:33!58; LUK 16:29!10; LUK 16:31!10; LUK 20:28!6; LUK 20:37!14; LUK 24:27!8; LUK 24:44!52
Ναασσών	Ναασσών	Nahshon	person	LUK 3:32!20
Ναγγαί	Ναγγαί	Naggai	person	LUK 3:25!20
Ναζαρά	Ναζαρά	Nazareth	settlement	LUK 1:26!40; LUK 2:4!20; LUK 2:39!34; LUK 2:51!16; LUK 4:16!8
Ναζαρηνός	Ναζαρηνός	Nazarene	group	LUK 4:34!14; LUK 24:19!26
Ναζωραῖος	Ναζωραῖος	Nazarene	group	LUK 18:37!14
Ναθάμ	Ναθάμ	Nathan	person	LUK 3:31!16
Ναιμάν	Ναιμάν	Naaman	person	LUK 4:27!36
Ναΐν	Ναΐν	Nain	settlement	LUK 7:11!20
Ναούμ	Ναούμ	Nahum	person	LUK 3:25!12
ναός-1	ναός	temple; sanctuary	buildings; sanctuary	LUK 1:9!24; LUK 1:21!30; LUK 1:22!28; LUK 23:45!18
Ναχώρ	Ναχώρ	Nahor	person	LUK 3:34!20
Νηρί	Νηρί	Neri	person	LUK 3:27!20
νηστεία	νηστεία	fasting; fast	religious activities	LUK 2:37!26
νηστεύω	νηστεύω	fast	religious activities	LUK 5:33!18; LUK 5:34!42; LUK 5:35!24; LUK 18:12!2
Νινευίτης	Νινευίτης	Ninevite	group	LUK 11:30!12; LUK 11:32!4
νομικός	νομικός	teacher of the law; lawyer	people; occupations; teaching; law; morals and ethics	LUK 7:30!12; LUK 10:25!6; LUK 11:45!10; LUK 11:46!14; LUK 11:52!8; LUK 14:3!16
νομοδιδάσκαλος	νομοδιδάσκαλος	teacher of the law; expert in the law	people; occupations; teaching; law; morals and ethics	LUK 5:17!32
νοσσιά	νοσσιά	young birds, nestlings	birds	LUK 13:34!48
νόμος	νόμος	law; Law (of Moses)	morals and ethics	LUK 2:22!22; LUK 2:23!8; LUK 2:24!20; LUK 2:27!50; LUK 2:39!16; LUK 10:26!16; LUK 16:16!4; LUK 16:17!24; LUK 24:44!50
νυμφών	νυμφών	wedding hall	constructions; buildings; marriage	LUK 5:34!24
Νῶε	Νῶε	Noah	person	LUK 3:36!16; LUK 17:26!14; LUK 17:27!18
ξύλον-2	ξύλον	firewood	fuel	LUK 23:31!12
ξύλον-4	ξύλον	club	weapons	LUK 22:52!46
ὁδός-1	ὁδός	(metaphorical) way to live, path	morals and ethics; behavior	LUK 20:21!40
ὀθόνιον	ὀθόνιον	linen cloth	artifacts; cloth	LUK 24:12!26
ὀικέτης	ὀικέτης	slave; household servant	people; household; authority; serve	LUK 16:13!4
οἰκία	οἰκία	house; home; dwelling; residence	constructions; buildings	LUK 4:38!18; LUK 5:29!18; LUK 6:48!10; LUK 6:48!46; LUK 6:49!22; LUK 6:49!58; LUK 7:6!30; LUK 7:37!32; LUK 7:44!34; LUK 8:27!46; LUK 8:51!10; LUK 9:4!10; LUK 10:5!12; LUK 10:7!10; LUK 10:7!46; LUK 10:7!50; LUK 15:8!34; LUK 15:25!30; LUK 17:31!32; LUK 18:29!26; LUK 20:47!8; LUK 22:10!42; LUK 22:11!12; LUK 22:54!18
οἰκονομία	οἰκονομία	stewardship	authority	LUK 16:2!30; LUK 16:3!30; LUK 16:4!18
οἰκονόμος	οἰκονόμος	manager, steward, treasurer	people; occupations; authority	LUK 12:42!20; LUK 16:1!26; LUK 16:3!12; LUK 16:8!12
οἰκος τοῦ θεοῦ	οἰκος τοῦ θεοῦ	house (of God)	buildings; sanctuary	LUK 6:4!10; LUK 11:51!28; LUK 19:46!14; LUK 19:46!18
οἰκουμένη	οἰκουμένη	world; inhabited earth; inhabited world	universe	LUK 2:1!30; LUK 4:5!20; LUK 21:26!20
οἰκτίρμων	οἰκτίρμων	compassionate; merciful	compassion	LUK 6:36!4; LUK 6:36!16
οἶνος	οἶνος	wine	artifacts; food	LUK 1:15!16; LUK 5:37!30; LUK 7:33!22; LUK 10:34!20
οἶνος νέος	οἶνος νέος	new wine; grape juice	artifacts; food	LUK 5:37!8; LUK 5:38!4
ὀλιγοπιστος	ὀλιγοπιστος	having little faith	faith	LUK 12:28!42
ὁσιότης	ὁσιότης	holiness; sanctity	clean, pure, holy	LUK 1:75!4
οὐαί	οὐαί	disaster; horror	mourning	LUK 6:24!4; LUK 6:25!2; LUK 6:25!16; LUK 6:26!2; LUK 10:13!2; LUK 10:13!8; LUK 11:42!4; LUK 11:43!2; LUK 11:44!2; LUK 11:46!16; LUK 11:47!2; LUK 11:52!2; LUK 17:1!30; LUK 21:23!2; LUK 22:22!24
οὐρανός	οὐρανός	heaven; sky	universe	LUK 2:15!18; LUK 3:21!32; LUK 3:22!32; LUK 4:25!38; LUK 6:23!32; LUK 8:5!52; LUK 9:16!26; LUK 9:54!32; LUK 9:58!28; LUK 10:15!12; LUK 10:18!22; LUK 10:20!40; LUK 10:21!36; LUK 11:13!38; LUK 11:16!12; LUK 12:33!34; LUK 12:56!16; LUK 13:19!44; LUK 15:7!16; LUK 15:18!28; LUK 15:21!20; LUK 16:17!10; LUK 17:24!20; LUK 17:24!28; LUK 17:29!26; LUK 18:13!28; LUK 18:22!46; LUK 19:38!22; LUK 20:4!10; LUK 20:5!22; LUK 21:11!30; LUK 21:26!30; LUK 21:33!4; LUK 22:43!12; LUK 24:51!30
οὐράνιος	οὐράνιος	heavenly	universe	LUK 2:13!18
ὀφειλέτης-2	ὀφειλέτης	sinner, offender	people; morals and ethics; obligation	LUK 13:4!38
ὀφείλω-1	ὀφείλω	owe	finance	LUK 7:41!16; LUK 16:5!28; LUK 16:7!14
ὀφείλω-2	ὀφείλω	ought; must; be obligated; be bound (to an oath)	obligation	LUK 17:10!32
ὀφείλω-3	ὀφείλω	sin against; wrong	morals and ethics	LUK 11:4!24
ὄνομα	ὄνομα	name; person, people; category of, being of the type that...	person	LUK 1:5!22; LUK 1:5!50; LUK 1:13!52; LUK 1:26!38; LUK 1:27!12; LUK 1:27!26; LUK 1:31!24; LUK 1:49!20; LUK 1:59!34; LUK 1:61!30; LUK 1:63!16; LUK 2:21!24; LUK 2:25!16; LUK 5:27!16; LUK 6:22!34; LUK 8:30!16; LUK 8:41!12; LUK 9:48!24; LUK 9:49!20; LUK 10:17!34; LUK 10:20!30; LUK 10:38!28; LUK 11:2!20; LUK 13:35!44; LUK 16:20!8; LUK 19:2!8; LUK 19:38!16; LUK 21:8!24; LUK 21:12!52; LUK 21:17!16; LUK 23:50!8; LUK 24:13!40; LUK 24:18!8; LUK 24:47!10
ὄνος	ὄνος	donkey; ass	mammals; domestic animals	LUK 13:15!40
ὄξος	ὄξος	sour wine, wine vinegar	artifacts; food	LUK 23:36!16
ὅρκος	ὅρκος	oath	covenant	LUK 1:73!2
ὄρνις	ὄρνις	bird	birds	LUK 13:34!42
ὄφις	ὄφις	snake	snakes and lizards	LUK 10:19!18; LUK 11:11!28
παγίς	παγίς	trap; snare	artifacts; hunting and fishing	LUK 21:35!4
παιδίσκη	παιδίσκη	maid; maidservant; woman servant; servant girl	people; household; authority; serve	LUK 12:45!46; LUK 22:56!8
παῖς-1	παῖς	child	people; household	LUK 2:43!24; LUK 8:51!46; LUK 8:54!20; LUK 9:42!44
παῖς-2	παῖς	servant; man servant	people; household; authority; serve	LUK 1:54!6; LUK 1:69!18; LUK 7:7!28; LUK 12:45!40; LUK 15:26!10
πανδοχεῖον	πανδοχεῖον	inn	constructions; buildings	LUK 10:34!42
πανδοχεύς	πανδοχεύς	innkeeper; manager of a hotel	constructions; people	LUK 10:35!20
πανοπλία	πανοπλία	weapons and armor	artifacts; weapons	LUK 11:22!18
παραβολή	παραβολή	parable, allegory, figure of speech	communication; symbols	LUK 4:23!18; LUK 5:36!8; LUK 6:39!8; LUK 8:4!28; LUK 8:9!22; LUK 8:10!34; LUK 8:11!10; LUK 12:16!6; LUK 12:41!18; LUK 13:6!10; LUK 14:7!12; LUK 15:3!12; LUK 18:1!6; LUK 18:9!36; LUK 19:11!14; LUK 20:9!16; LUK 20:19!56; LUK 21:29!6
παρακαλέω-1	παρακαλέω	ask for (earnestly); request; plead for; appeal to	communication	LUK 3:18!12; LUK 7:4!14; LUK 8:31!4; LUK 8:32!24; LUK 8:41!42; LUK 15:28!24
παρακαλέω-2	παρακαλέω	encourage; console	communication; confidence	LUK 16:25!46
παρατήρησις	παρατήρησις	observation	senses	LUK 17:20!46
παράδεισος	παράδεισος	paradise	universe	LUK 23:43!26
παράκλησις-2	παράκλησις	encouragement	communication; confidence	LUK 2:25!36; LUK 6:24!18
παρθένος	παρθένος	virgin, maiden, young woman	people; household; marriage	LUK 1:27!4; LUK 1:27!30
πατήρ	πατήρ	Father	supernatural beings and powers; titles; kinship	LUK 2:49!30; LUK 6:36!12; LUK 9:26!48; LUK 10:21!30; LUK 10:21!70; LUK 10:22!12; LUK 10:22!36; LUK 10:22!46; LUK 11:2!14; LUK 11:13!32; LUK 12:30!24; LUK 12:32!18; LUK 22:29!16; LUK 22:42!4; LUK 23:34!10; LUK 23:46!16; LUK 24:49!16
πάσχα-1	πάσχα	Passover	calendar; festivals	LUK 2:41!26; LUK 22:1!18; LUK 22:8!22; LUK 22:11!34; LUK 22:13!20; LUK 22:15!18
πάσχα-2	πάσχα	Passover lamb	animals	LUK 22:7!24
πειρασμός	πειρασμός	temptation	morals and ethics	LUK 4:13!8; LUK 8:13!52; LUK 11:4!38; LUK 22:40!24; LUK 22:46!24
πειράζω-1	πειράζω	tempt	morals and ethics	LUK 4:2!6
πείθω-1	πείθω	persuade; convince	communication; truth	LUK 16:31!34
πείθω-2	πείθω	rely on; trust in; depend on; have (complete) confidence in; confidence; trust	truth; faith	LUK 11:22!28; LUK 18:9!14; LUK 20:6!22
περιστερά	περιστερά	dove; pigeon	birds	LUK 2:24!34; LUK 3:22!20
περιτέμνω	περιτέμνω	circumcise	religious activities; association	LUK 1:59!18; LUK 2:21!14
πετεινόν	πετεινόν	bird	birds	LUK 8:5!48; LUK 9:58!24; LUK 12:24!50; LUK 13:19!40
πέδη	πέδη	fetter; shackle	artifacts; prison	LUK 8:29!40
Πέτρος	Πέτρος	Peter	person	LUK 5:8!8; LUK 6:14!10; LUK 8:45!28; LUK 8:51!28; LUK 9:20!20; LUK 9:28!24; LUK 9:32!6; LUK 9:33!22; LUK 12:41!8; LUK 18:28!8; LUK 22:8!6; LUK 22:34!12; LUK 22:54!28; LUK 22:55!24; LUK 22:58!30; LUK 22:60!8; LUK 22:61!14; LUK 22:61!22; LUK 24:12!6
πήγανον	πήγανον	rue	food	LUK 11:42!24
πήρα	πήρα	travellers bag	artifacts; containers	LUK 9:3!26; LUK 10:4!10; LUK 22:35!20; LUK 22:36!24
Πιλᾶτος	Πιλᾶτος	Pilate	person	LUK 3:1!22; LUK 13:1!32; LUK 23:1!22; LUK 23:3!6; LUK 23:4!6; LUK 23:6!2; LUK 23:11!38; LUK 23:12!18; LUK 23:13!2; LUK 23:20!8; LUK 23:24!4; LUK 23:52!8
πινακίδιον	πινακίδιον	tablet	artifacts; writing	LUK 1:63!6
πιστεύω	πιστεύω	believe; entrust; be entrusted with (pass.)	faith	LUK 1:20!34; LUK 1:45!8; LUK 8:12!46; LUK 8:13!44; LUK 8:50!20; LUK 16:11!28; LUK 20:5!32; LUK 22:67!34; LUK 24:25!26
πιστός	πιστός	faithful, trustworthy; believer, believing	faith	LUK 12:42!18; LUK 16:10!4; LUK 16:10!16; LUK 16:11!14; LUK 16:12!12; LUK 19:17!20
πίναξ	πίναξ	plate, platter	artifacts; container; food	LUK 11:39!34
πίστις-1	πίστις	faith; belief; pledge; fidelity	faith	LUK 5:20!8; LUK 7:9!44; LUK 7:50!14; LUK 8:25!12; LUK 8:48!14; LUK 17:5!18; LUK 17:6!14; LUK 17:19!14; LUK 18:8!38; LUK 18:42!16; LUK 22:32!20
πληρόω-2	πληρόω	to cause to happen; to make happen; to fulfill	happen	LUK 1:20!44; LUK 4:21!16; LUK 9:31!22; LUK 22:16!22; LUK 24:44!38
πλοῖον	πλοῖον	boat; ship	artifacts; transportation	LUK 5:2!8; LUK 5:3!12; LUK 5:3!42; LUK 5:7!16; LUK 5:7!38; LUK 5:11!8; LUK 8:22!22; LUK 8:37!44
πνευμα ἀκαθαρτος	πνευμα ἀκαθαρτος	unclean spirit	supernatural beings and powers	LUK 4:36!46; LUK 6:18!30; LUK 8:29!8; LUK 9:42!32; LUK 11:24!8
πνεῦμα-1	πνεῦμα	Spirit (of God)	supernatural beings and powers; titles	LUK 2:27!10; LUK 4:1!28; LUK 4:14!18; LUK 4:18!2
πνεῦμα-2	πνεῦμα	spirit; demon, evil spirit	supernatural beings and powers	LUK 4:33!16; LUK 9:39!6; LUK 10:20!16; LUK 11:26!12; LUK 13:11!8
πνεῦμα-3	πνεῦμα	(a person's) spirit	psychological faculties	LUK 1:17!14; LUK 1:47!8; LUK 1:80!14; LUK 8:55!8; LUK 23:46!28; LUK 24:37!14; LUK 24:39!36
πνεῦμα ἅγιον	πνεῦμα ἅγιον	Holy Spirit	supernatural beings and powers; titles	LUK 1:15!30; LUK 1:35!14; LUK 1:41!40; LUK 1:67!14; LUK 2:25!44; LUK 2:26!14; LUK 3:16!60; LUK 3:22!8; LUK 4:1!8; LUK 10:21!16; LUK 11:13!42; LUK 12:10!36; LUK 12:12!8
πνεῦμα πονηρόν	πνεῦμα πονηρόν	evil spirit	supernatural beings and powers	LUK 7:21!24; LUK 8:2!16
ποίμνη	ποίμνη	flock	mammals; domestic animals	LUK 2:8!34
ποίμνιον	ποίμνιον	people who are like a flock	animals; people; groups	LUK 12:32!10
πορφύρα	πορφύρα	purple cloth	artifacts; cloth	LUK 16:19!16
Πόντιος	Πόντιος	Pontius	person	LUK 3:1!20
πρεσβυτέριον	πρεσβυτέριον	council of elders	people; authority; honor, respect, status	LUK 22:66!14
πρεσβύτερος	πρεσβύτερος	elder	people; authority; honor, respect, status	LUK 7:3!18; LUK 9:22!28; LUK 15:25!14; LUK 20:1!48; LUK 22:52!30
προσευχή	προσευχή	prayer	communication; prayer	LUK 6:12!36; LUK 19:46!20; LUK 22:45!10
προσεύχομαι	προσεύχομαι	pray	communication; prayer	LUK 1:10!16; LUK 3:21!26; LUK 5:16!18; LUK 6:12!24; LUK 6:28!10; LUK 9:18!14; LUK 9:28!42; LUK 9:29!10; LUK 11:1!20; LUK 11:1!46; LUK 11:2!10; LUK 18:1!18; LUK 18:10!14; LUK 18:11!14; LUK 20:47!20; LUK 22:40!16; LUK 22:41!26; LUK 22:44!12; LUK 22:46!14
προσκυνέω	προσκυνέω	bow down; worship	worship	LUK 4:7!8; LUK 4:8!24; LUK 24:52!6
προσφέρω	προσφέρω	offer sacrifice; make an offering	sacrifices and offerings	LUK 5:14!28
προφητεύω	προφητεύω	to prophesy	prophecy, vision	LUK 1:67!20; LUK 22:64!12
προφήτης	προφήτης	prophet	people; communication; prophecy, vision	LUK 1:70!18; LUK 1:76!10; LUK 3:4!16; LUK 4:17!12; LUK 4:24!16; LUK 4:27!22; LUK 6:23!46; LUK 7:16!22; LUK 7:26!10; LUK 7:26!22; LUK 7:39!30; LUK 9:8!20; LUK 9:19!28; LUK 10:24!12; LUK 11:47!16; LUK 11:49!24; LUK 11:50!14; LUK 13:28!40; LUK 13:33!28; LUK 13:34!12; LUK 16:16!10; LUK 16:29!16; LUK 16:31!16; LUK 18:31!38; LUK 20:6!30; LUK 24:19!34; LUK 24:25!38; LUK 24:27!18; LUK 24:44!58
προφῆτις	προφῆτις	prophetess	people; communication; prophecy, vision	LUK 2:36!8
πρόβατον	πρόβατον	sheep	mammals; domestic animals	LUK 15:4!14; LUK 15:6!38
πτερύγιον	πτερύγιον	pinnacle; summit (of the Temple)	constructions	LUK 4:9!20
πτύον	πτύον	winnowing shovel	artifacts	LUK 3:17!6
πυλών-1	πυλών	gateway; entrance; vestibule	constructions	LUK 16:20!18
πύργος	πύργος	tower; watchtower	constructions	LUK 13:4!18; LUK 14:28!12
πῶλος	πῶλος	foal; colt	mammals; domestic animals	LUK 19:30!22; LUK 19:33!10; LUK 19:33!30; LUK 19:35!28
Ῥαγαύ	Ῥαγαύ	Reu	person	LUK 3:35!8
ῥάβδος-1	ῥάβδος	stick; rod	artifacts; tools; animal husbandry	LUK 9:3!22
Ῥησά	Ῥησά	Rhesa	person	LUK 3:27!8
ῥῆμα	ῥῆμα	word, saying; message, statement	communication	LUK 1:37!16; LUK 1:38!24; LUK 1:65!38; LUK 2:15!48; LUK 2:17!12; LUK 2:19!14; LUK 2:29!18; LUK 2:50!12; LUK 2:51!40; LUK 3:2!14; LUK 5:5!30; LUK 7:1!10; LUK 9:45!10; LUK 9:45!44; LUK 18:34!18; LUK 20:26!12; LUK 22:61!26; LUK 24:8!8; LUK 24:11!16
ῥίζα	ῥίζα	root	parts	LUK 3:9!16; LUK 8:13!32
ῥύομαι	ῥύομαι	deliver; rescue	help, protect, save	LUK 1:74!10
Σαδδουκαῖος	Σαδδουκαῖος	Sadducee	group	LUK 20:27!10
Σαλαθιήλ	Σαλαθιήλ	Shealtiel	person	LUK 3:27!16
Σαλά-1	Σαλά	Sala; Salmon	person	LUK 3:32!16
Σαλά-2	Σαλά	Sala	person	LUK 3:35!20
Σαμαρίτης	Σαμαρίτης	Samaritan; person from Samaria	group	LUK 9:52!24; LUK 10:33!2; LUK 17:16!28
Σαμάρεια-1	Σαμάρεια	Samaria	area	LUK 17:11!26
Σατανᾶς	Σατανᾶς	Satan	supernatural beings and powers	LUK 10:18!12; LUK 11:18!10; LUK 13:16!18; LUK 22:3!6; LUK 22:31!10
σάββατον-1	σάββατον	Sabbath, Saturday	calendar	LUK 4:16!36; LUK 4:31!28; LUK 6:1!8; LUK 6:2!24; LUK 6:5!14; LUK 6:6!10; LUK 6:7!24; LUK 6:9!24; LUK 13:10!20; LUK 13:14!16; LUK 13:14!66; LUK 13:15!24; LUK 13:16!50; LUK 14:1!28; LUK 14:3!28; LUK 14:5!42; LUK 23:54!12; LUK 23:56!20
σάββατον-2	σάββατον	week	calendar	LUK 18:12!8; LUK 24:1!10
σάκκος	σάκκος	sackcloth	artifacts; cloth; clothing; mourning	LUK 10:13!46
Σάρεπτα	Σάρεπτα	Zarephath	settlement	LUK 4:26!20
σάρξ	σάρξ	flesh; body, physical body; people, human being; physical nature, human; human nature; life	body; parts	LUK 3:6!8; LUK 24:39!38
Σεμεΐν	Σεμεΐν	Semein	person	LUK 3:26!12
Σερούχ	Σερούχ	Serug	person	LUK 3:35!4
σημεῖον	σημεῖον	sign	signs and wonders; symbols	LUK 2:12!10; LUK 2:34!50; LUK 11:16!8; LUK 11:29!26; LUK 11:29!32; LUK 11:29!46; LUK 11:30!14; LUK 21:7!26; LUK 21:11!32; LUK 21:25!6; LUK 23:8!50
Σήθ	Σήθ	Seth	person	LUK 3:38!8
Σήμ	Σήμ	Shem	person	LUK 3:36!12
σής	σής	moth	insects, spiders, and worms	LUK 12:33!46
Σιδώνιος-2	Σιδώνιος	from Sidon	area	LUK 4:26!24
Σιδών	Σιδών	Sidon	settlement	LUK 6:17!60; LUK 10:13!24; LUK 10:14!8
Σιλωάμ	Σιλωάμ	Siloam	constructions; water	LUK 13:4!24
σινδών	σινδών	linen cloth	artifacts; cloth	LUK 23:53!10
σίκερα	σίκερα	beer	artifacts; food	LUK 1:15!20
Σίμων-1	Σίμων	Simon	person	LUK 4:38!20; LUK 4:38!28; LUK 5:3!18; LUK 5:4!16; LUK 5:5!6; LUK 5:8!6; LUK 5:10!26; LUK 5:10!36; LUK 6:14!2; LUK 22:31!2; LUK 22:31!4; LUK 24:34!18
Σίμων-2	Σίμων	Simon	person	LUK 6:15!18
Σίμων-4	Σίμων	Simon	person	LUK 23:26!12
Σίμων-9	Σίμων	Simon	person	LUK 7:40!16; LUK 7:43!4; LUK 7:44!14
σίναπι	σίναπι	mustard plant	agriculture; food	LUK 13:19!8; LUK 17:6!20
σῖτος	σῖτος	grain; wheat	agriculture; food	LUK 3:17!30; LUK 12:18!34; LUK 16:7!26; LUK 22:31!24
σκανδαλίζω	σκανδαλίζω	cause to stumble; cause to sin	morals and ethics	LUK 17:2!36
σκάνδαλον	σκάνδαλον	stumbling block, temptation to sin; offenses, offensive thing	morals and ethics	LUK 17:1!22
σκηνή-1	σκηνή	tent	constructions	LUK 9:33!46
σκηνή-3	σκηνή	tent; tabernacle tent	constructions	LUK 16:9!42
σκορπίος	σκορπίος	scorpion	insects, spiders, and worms	LUK 10:19!22; LUK 11:12!14
Σολομών	Σολομών	Solomon	person	LUK 11:31!52; LUK 11:31!60; LUK 12:27!28
σορός	σορός	bier	artifacts; life and death	LUK 7:14!10
σουδάριον	σουδάριον	towel; napkin; handkerchief; face cloth	artifacts; cloth	LUK 19:20!30
Σουσάννα	Σουσάννα	Susanna	person	LUK 8:3!16
Σόδομα	Σόδομα	Sodom	settlement	LUK 10:12!8; LUK 17:29!14
σπλαγχνίζομαι	σπλαγχνίζομαι	feel sympathy; feel compassion	attitudes and emotions; compassion	LUK 7:13!12; LUK 10:33!20; LUK 15:20!38
σπλάγχνον	σπλάγχνον	affection	attitudes and emotions; compassion	LUK 1:78!4
σπουδή-1	σπουδή	haste	attitudes and emotions	LUK 1:39!26
σπόρος	σπόρος	seed	agriculture	LUK 8:5!14; LUK 8:11!14
σταυρός	σταυρός	cross	repay, reward, punish	LUK 9:23!32; LUK 14:27!10; LUK 23:26!30
σταυρόω	σταυρόω	crucify	repay, reward, punish	LUK 23:21!10; LUK 23:21!12; LUK 23:23!16; LUK 23:33!22; LUK 24:7!28; LUK 24:20!30
σταφυλή	σταφυλή	grape; bunch of grapes	fruits	LUK 6:44!36
στάχυς	στάχυς	ear of wheat; head of wheat	agriculture; food	LUK 6:1!34
στέγη	στέγη	roof	constructions; buildings	LUK 7:6!64
στολή	στολή	long robe	artifacts; clothing	LUK 15:22!22; LUK 20:46!18
στρουθίον	στρουθίον	sparrow	birds	LUK 12:6!6; LUK 12:7!26
συκάμινος	συκάμινος	mulberry tree	trees; fruits	LUK 17:6!28
συκῆ	συκῆ	fig tree	trees; fruits	LUK 13:6!12; LUK 13:7!32; LUK 21:29!14
συκομορέα	συκομορέα	sycamore-fig tree	trees	LUK 19:4!16
Συμεών-3	Συμεών	Simeon	person	LUK 2:25!18; LUK 2:34!8
Συμεών-5	Συμεών	Simeon; Simon	person	LUK 3:30!4
