"LouwNida_Code","SemDom","SemDom_Name"
"30G To Distinguish, To Evaluate, To Judge","3.2.2.3","Evaluate, test"
"31 Hold a View, Believe, Trust","3.2.5","Opinion"
"31A Have an Opinion, Hold a View","3.2.5","Opinion"
"31B Hold a Wrong View, Be Mistaken","3.2.4.1","Misunderstand"
"31C Agree, Consent","3.2.5.4;3.2.5.4.1","Agree with someone;Disagree"
"31D Acknowledge","3.2.5","Opinion"
"31E Suppose, Think Possible","9.4.4.6;9.4.4.6.1","Think so;Unsure"
"31F Believe To Be True","3.2.5.1","Believe"
"31G Accept as True","3.2.5","Opinion"
"31H Change an Opinion Concerning Truth","3.2.5","Opinion"
"31I Trust, Rely","3.2.5.1.1","Trust"
"31J Be a Believer, Christian Faith","3.2.5.1;4.9.7.1","Believe;Religious person"
"32 Understand","3.2.4","Understand"
"32A Understand","3.2.4","Understand"
"32B Come To Understand","3.2.4","Understand"
"32C Ease or Difficulty in Understand","3.2.4","Understand"
"32D Capacity for Understanding","3.2.1.3","Intelligent"
"32E Lack of Capacity for Understanding","3.2.1.4","Stupid"
"33 Communication","3.5","Communication"
"33A Language","3.5.3","Language"
"33A"" Prophesy","4.9.4.6","Prophecy"
"33A' Advise","3.3.3;3.3.3.2","Advise;Influence"
"33B Word, Passage","3.5.3.1","Word"
"33B"" Swear, Put Under Oath, Vow","4.7.5.7","Take oath"
"33B' Urge, Persuade","3.3.3.3","Persuade"
"33C Discourse Types","3.5.4","Story"
"33C"" Bless, Curse","4.9.4.3;4.9.4.4","Bless;Curse"
"33C' Call","3.5.1.4.1;3.5.1.4.2","Call;Contact"
"33D Language Levels","3.5.1.1.6","Speech style"
"33D"" Non-Verbal Communication","3.5.6;3.5.6.1","Gesture;Sign, symbol"
"33D' Invite","4.2;4.2.1;4.2.1.1","Come together, form a group;Invite;Social activity"
"33E Written Language","3.5.7;3.5.7.1","Reading and writing;Write"
"33E' Insist","3.3.3.4","Insist"
"33F Speak, Talk","3.5.1","Say"
"33F' Command, Order","4.5.3.2","Command"
"33G Sing, Lament","4.2.3;4.2.3.3","Music;Sing"
"33G' Law, Regulation, Ordinance","4.7.1","Laws"
"33H Keep Silent","3.5.1.1;3.5.1.1.5","Say nothing;Voice"
"33H' Recommend, Propose","3.3.3.3;3.3.5","Offer;Persuade"
"33I Name","9.7.3","Name of a thing"
