Greek_Word	Ln_Domain	SemDom	SemDom_Name	Total_Unique_References	Refs
Μεννὰ	93A	9.7.1	Name of a person	1	LUK 3:31!4
Μενοῦν	89H;89W;91B	9.6.2.6;9.6.2.6.1;9.6.1.5;9.6.3.2	Result;Without result;But;Markers of emphasis	1	LUK 11:28!4
Μετανοῶ	41E	4.3.8;4.8.4.6	Change behavior;Repent	1	LUK 17:4!15
Μετὰ	67B	8.4.5	Relative time	2	LUK 10:1!1; LUK 1:24!1
Μεῖνον	85C	7.2.7.2	Stay, remain	1	LUK 24:29!5
Μηδένα	92D	9.2;9.2.3	Part of speech;Pronouns	1	LUK 3:14!14
Μηδὲν	92D	9.2;9.2.3	Part of speech;Pronouns	2	LUK 3:13!6; LUK 9:3!5
Μωϋσέα	93A	9.7.1	Name of a person	1	LUK 16:29!5
Μωϋσέως	93A	9.7.1	Name of a person	4	LUK 16:31!5; LUK 24:27!4; LUK 24:44!26; LUK 2:22!12
Μωϋσεῖ	93A	9.7.1	Name of a person	1	LUK 9:33!29
Μωϋσῆς	93A	9.7.1	Name of a person	4	LUK 20:28!3; LUK 20:37!7; LUK 5:14!21; LUK 9:30!9
Μὴ	69B	9.4.6.1	No, not	15	LUK 12:32!1; LUK 18:20!10; LUK 18:20!4; LUK 18:20!6; LUK 18:20!8; LUK 1:13!7; LUK 1:30!6; LUK 20:16!15; LUK 2:10!6; LUK 5:10!21; LUK 5:34!6; LUK 7:13!12; LUK 8:50!7; LUK 8:52!10; LUK 9:50!7
Ναΐν	93B	9.7.2	Name of a place	1	LUK 7:11!10
Ναασσὼν	93A	9.7.1	Name of a person	1	LUK 3:32!10
Ναγγαὶ	93A	9.7.1	Name of a person	1	LUK 3:25!10
Ναζαρά	93B	9.7.2	Name of a place	1	LUK 4:16!4
Ναζαρέθ	93B	9.7.2	Name of a place	1	LUK 2:39!17
Ναζαρηνέ	93B	9.7.2	Name of a place	1	LUK 4:34!7
Ναζαρηνοῦ	93B	9.7.2	Name of a place	1	LUK 24:19!13
Ναζαρὲθ	93B	9.7.2	Name of a place	3	LUK 1:26!20; LUK 2:4!10; LUK 2:51!8
Ναζωραῖος	93B	9.7.2	Name of a place	1	LUK 18:37!7
Ναθὰμ	93A	9.7.1	Name of a person	1	LUK 3:31!8
Ναιμὰν	93A	9.7.1	Name of a person	1	LUK 4:27!18
Ναοὺμ	93A	9.7.1	Name of a person	1	LUK 3:25!6
Ναχὼρ	93A	9.7.1	Name of a person	1	LUK 3:34!10
Νεανίσκε	9B	1.6.7;2.6.5.1	Male and female animals;Man	1	LUK 7:14!12
Νηρὶ	93A	9.7.1	Name of a person	1	LUK 3:27!10
Νινευίταις	93B	9.7.2	Name of a place	1	LUK 11:30!6
Νινευῖται	93B	9.7.2	Name of a place	1	LUK 11:32!2
Νῦν	67B	8.4.5	Relative time	2	LUK 11:39!7; LUK 2:29!1
Νῶε	93A	9.7.1	Name of a person	3	LUK 17:26!7; LUK 17:27!9; LUK 3:36!8
Οἱ	92D	9.2;9.2.3	Part of speech;Pronouns	4	LUK 20:34!6; LUK 22:25!5; LUK 5:33!1; LUK 5:33!6
Οὐ	69B	9.4.6.1	No, not	3	LUK 19:14!13; LUK 5:31!8; LUK 6:43!1
Οὐαί	22A	4.4.2	Trouble	1	LUK 10:13!1
Οὐαὶ	22A	4.4.2	Trouble	1	LUK 6:26!1
Οὐδείς	92D	9.2;9.2.3	Part of speech;Pronouns	1	LUK 1:61!6
Οὐδεὶς	92D	9.2;9.2.3	Part of speech;Pronouns	4	LUK 11:33!1; LUK 5:36!8; LUK 8:16!1; LUK 9:62!5
Οὐδὲ	69C	9.4.6.1	No, not	3	LUK 20:8!6; LUK 23:40!8; LUK 6:3!8
Οὐδὲν	92D	9.2;9.2.3	Part of speech;Pronouns	1	LUK 23:4!11
Οὐθενός	92D	9.2;9.2.3	Part of speech;Pronouns	1	LUK 22:35!19
Οὐκ	69B	9.4.6.1	No, not	7	LUK 13:25!27; LUK 13:27!5; LUK 17:20!16; LUK 22:57!5; LUK 4:12!9; LUK 4:4!9; LUK 9:13!12
Οὐχί	69B	9.4.6.1	No, not	2	LUK 16:30!4; LUK 1:60!7
Οὐχὶ	69D	9.4.6.2	Markers expecting an affirmative answer	3	LUK 23:39!9; LUK 24:32!5; LUK 4:22!20
Οὕτως	61	8.4.5.1	Order, sequence	1	LUK 1:25!2
Οὗτοι	92G	9.2.3.5	Demonstrative pronouns	1	LUK 24:44!5
Οὗτος	92G	9.2.3.5	Demonstrative pronouns	3	LUK 14:30!3; LUK 15:2!11; LUK 7:39!12
Οὗτός	92G	9.2.3.5	Demonstrative pronouns	2	LUK 20:14!10; LUK 9:35!8
Πάντων	59C	8.1.5	All	1	LUK 9:43!9
Πάντως	71C;91B	9.4.4.1;9.4.4.5;9.6.3.2	Certainly, definitely;Uncertain;Markers of emphasis	1	LUK 4:23!5
Πάσχα	51	4.2.2;4.2.2.1;4.2.2.2;4.2.2.3	Celebrate;Ceremony;Festival, show;Social event	1	LUK 22:1!9
Πάτερ	10B	4.1.9.1	Related by birth	4	LUK 15:12!8; LUK 15:18!10; LUK 15:21!6; LUK 16:24!5
Πάτερ	12A	4.9.2	Supernatural being	4	LUK 11:2!7; LUK 22:42!2; LUK 23:34!5; LUK 23:46!8
Πέσετε	15L	7.2.2.5.1	Fall	1	LUK 23:30!6
Πέτρε	93A	9.7.1	Name of a person	1	LUK 22:34!6
