Greek_Word	Meaning	Is_Key_Term	Ln_Domain	SemDom	SemDom_Name	Total_Unique_References	Refs
Λάζαρον	unknown	no	93A	9.7.1	Name of a person	2	LUK 16:23!17; LUK 16:24!11
Λάζαρος	Lazarus	yes	93A	9.7.1	Name of a person	2	LUK 16:20!5; LUK 16:25!16
Λάμεχ	Lamech	yes	93A	9.7.1	Name of a person	1	LUK 3:36!10
Λέγει	unknown	no	33F	3.5.1	Say	1	LUK 22:11!7
Λέγω	unknown	no	33F	3.5.1	Say	5	LUK 12:4!1; LUK 12:8!1; LUK 19:40!4; LUK 22:34!4; LUK 7:9!15
Λίθον	unknown	no	2E	1.2.2.1;1.2.2.2	Rock;Soil, dirt	1	LUK 20:17!12
Λεγιών	Legion	yes	93A	9.7.1	Name of a person	1	LUK 8:30!13
Λευίτης	Levite	yes	53I	4.9.7.1	Religious person	1	LUK 10:32!4
Λευὶ	Levi	yes	93A	9.7.1	Name of a person	2	LUK 3:24!4; LUK 3:29!10
Λευὶν	unknown	no	93A	9.7.1	Name of a person	1	LUK 5:27!9
Λευὶς	unknown	no	93A	9.7.1	Name of a person	1	LUK 5:29!5
Λυσανίου	unknown	no	93A	9.7.1	Name of a person	1	LUK 3:1!31
Λώτ	Lot	yes	93A	9.7.1	Name of a person	2	LUK 17:28!7; LUK 17:32!4
Λὼτ	Lot	yes	93A	9.7.1	Name of a person	1	LUK 17:29!5
Μάαθ	Maath	yes	93A	9.7.1	Name of a person	1	LUK 3:26!2
Μάρθα	Martha	yes	93A	9.7.1	Name of a person	4	LUK 10:38!15; LUK 10:40!3; LUK 10:41!7; LUK 10:41!8
Μή	unknown	no	69B	9.4.6.1	No, not	1	LUK 11:7!5
Μήτηρ	unknown	no	10B	4.1.9.1	Related by birth	1	LUK 8:21!7
Μήτι	unknown	no	69E	9.4.6.3	Markers expecting a negative answer	1	LUK 6:39!6
Μαγδαληνή	Magdalene	yes	93A	9.7.1	Name of a person	1	LUK 8:2!15
Μαγδαληνὴ	Magdalene	yes	93A	9.7.1	Name of a person	1	LUK 24:10!4
Μαθθαῖον	unknown	no	93A	9.7.1	Name of a person	1	LUK 6:15!2
Μαθθὰτ	Matthat	yes	93A	9.7.1	Name of a person	2	LUK 3:24!2; LUK 3:29!8
Μαθουσαλὰ	Methuselah	yes	93A	9.7.1	Name of a person	1	LUK 3:37!2
Μακάριαι	unknown	no	25K	3.4.1.2	Happy	1	LUK 23:29!8
Μακάριοί	unknown	no	25K	3.4.1.2	Happy	1	LUK 6:22!1
Μακάριοι	unknown	no	25K	3.4.1.2	Happy	2	LUK 10:23!9; LUK 6:20!12
Μακάριος	unknown	no	25K	3.4.1.2	Happy	1	LUK 14:15!9
Μακαρία	unknown	no	25K	3.4.1.2	Happy	1	LUK 11:27!17
Μαλελεὴλ	Mahalaleel	yes	93A	9.7.1	Name of a person	1	LUK 3:37!8
Μαρία	Mary	yes	93A	9.7.1	Name of a person	4	LUK 24:10!5; LUK 24:10!9; LUK 2:19!3; LUK 8:2!12
Μαρίας	unknown	no	93A	9.7.1	Name of a person	1	LUK 1:41!8
Μαριάμ	unknown	no	93A	9.7.1	Name of a person	5	LUK 10:39!6; LUK 1:27!16; LUK 1:30!8; LUK 1:38!3; LUK 1:46!3
Μαριὰμ	unknown	no	93A	9.7.1	Name of a person	7	LUK 10:42!7; LUK 1:34!3; LUK 1:39!3; LUK 1:56!3; LUK 2:16!8; LUK 2:34!8; LUK 2:5!3
Ματταθίου	unknown	no	93A	9.7.1	Name of a person	2	LUK 3:25!2; LUK 3:26!4
Ματταθὰ	Mattatha	yes	93A	9.7.1	Name of a person	1	LUK 3:31!6
Μεγαλύνει	unknown	no	33K'	3.5.1.7	Praise	1	LUK 1:46!4
Μελεὰ	Melea	yes	93A	9.7.1	Name of a person	1	LUK 3:31!2
Μελχὶ	Melchi	yes	93A	9.7.1	Name of a person	2	LUK 3:24!6; LUK 3:28!2
Μεννὰ	Menna	yes	93A	9.7.1	Name of a person	1	LUK 3:31!4
Μενοῦν	unknown	no	89H;89W;91B	9.6.2.6;9.6.2.6.1;9.6.1.5;9.6.3.2	Result;Without result;But;Markers of emphasis	1	LUK 11:28!4
Μετανοῶ	unknown	no	41E	4.3.8;4.8.4.6	Change behavior;Repent	1	LUK 17:4!15
Μετὰ	unknown	no	67B	8.4.5	Relative time	2	LUK 10:1!1; LUK 1:24!1
Μεῖνον	unknown	no	85C	7.2.7.2	Stay, remain	1	LUK 24:29!5
Μηδένα	unknown	no	92D	9.2;9.2.3	Part of speech;Pronouns	1	LUK 3:14!14
Μηδὲν	unknown	no	92D	9.2;9.2.3	Part of speech;Pronouns	2	LUK 3:13!6; LUK 9:3!5
Μωϋσέα	unknown	no	93A	9.7.1	Name of a person	1	LUK 16:29!5
Μωϋσέως	unknown	no	93A	9.7.1	Name of a person	4	LUK 16:31!5; LUK 24:27!4; LUK 24:44!26; LUK 2:22!12
Μωϋσεῖ	unknown	no	93A	9.7.1	Name of a person	1	LUK 9:33!29
Μωϋσῆς	Moses	yes	93A	9.7.1	Name of a person	4	LUK 20:28!3; LUK 20:37!7; LUK 5:14!21; LUK 9:30!9
Μὴ	unknown	no	69B	9.4.6.1	No, not	15	LUK 12:32!1; LUK 18:20!10; LUK 18:20!4; LUK 18:20!6; LUK 18:20!8; LUK 1:13!7; LUK 1:30!6; LUK 20:16!15; LUK 2:10!6; LUK 5:10!21; LUK 5:34!6; LUK 7:13!12; LUK 8:50!7; LUK 8:52!10; LUK 9:50!7
Ναΐν	Nain	yes	93B	9.7.2	Name of a place	1	LUK 7:11!10
Ναασσὼν	Nahshon	yes	93A	9.7.1	Name of a person	1	LUK 3:32!10
Ναγγαὶ	Naggai	yes	93A	9.7.1	Name of a person	1	LUK 3:25!10
Ναζαρά	Nazareth	yes	93B	9.7.2	Name of a place	1	LUK 4:16!4
Ναζαρέθ	unknown	no	93B	9.7.2	Name of a place	1	LUK 2:39!17
Ναζαρηνέ	unknown	no	93B	9.7.2	Name of a place	1	LUK 4:34!7
Ναζαρηνοῦ	unknown	no	93B	9.7.2	Name of a place	1	LUK 24:19!13
Ναζαρὲθ	unknown	no	93B	9.7.2	Name of a place	3	LUK 1:26!20; LUK 2:4!10; LUK 2:51!8
Ναζωραῖος	Nazarene	yes	93B	9.7.2	Name of a place	1	LUK 18:37!7
Ναθὰμ	Nathan	yes	93A	9.7.1	Name of a person	1	LUK 3:31!8
Ναιμὰν	Naaman	yes	93A	9.7.1	Name of a person	1	LUK 4:27!18
Ναοὺμ	Nahum	yes	93A	9.7.1	Name of a person	1	LUK 3:25!6
Ναχὼρ	Nahor	yes	93A	9.7.1	Name of a person	1	LUK 3:34!10
Νεανίσκε	unknown	no	9B	1.6.7;2.6.5.1	Male and female animals;Man	1	LUK 7:14!12
Νηρὶ	Neri	yes	93A	9.7.1	Name of a person	1	LUK 3:27!10
Νινευίταις	unknown	no	93B	9.7.2	Name of a place	1	LUK 11:30!6
Νινευῖται	unknown	no	93B	9.7.2	Name of a place	1	LUK 11:32!2
Νῦν	unknown	no	67B	8.4.5	Relative time	2	LUK 11:39!7; LUK 2:29!1
Νῶε	Noah	yes	93A	9.7.1	Name of a person	3	LUK 17:26!7; LUK 17:27!9; LUK 3:36!8
Οἱ	unknown	no	92D	9.2;9.2.3	Part of speech;Pronouns	4	LUK 20:34!6; LUK 22:25!5; LUK 5:33!1; LUK 5:33!6
Οὐ	unknown	no	69B	9.4.6.1	No, not	3	LUK 19:14!13; LUK 5:31!8; LUK 6:43!1
Οὐαί	unknown	no	22A	4.4.2	Trouble	1	LUK 10:13!1
Οὐαὶ	unknown	no	22A	4.4.2	Trouble	1	LUK 6:26!1
Οὐδείς	unknown	no	92D	9.2;9.2.3	Part of speech;Pronouns	1	LUK 1:61!6
Οὐδεὶς	unknown	no	92D	9.2;9.2.3	Part of speech;Pronouns	4	LUK 11:33!1; LUK 5:36!8; LUK 8:16!1; LUK 9:62!5
Οὐδὲ	unknown	no	69C	9.4.6.1	No, not	3	LUK 20:8!6; LUK 23:40!8; LUK 6:3!8
Οὐδὲν	unknown	no	92D	9.2;9.2.3	Part of speech;Pronouns	1	LUK 23:4!11
Οὐθενός	unknown	no	92D	9.2;9.2.3	Part of speech;Pronouns	1	LUK 22:35!19
Οὐκ	unknown	no	69B	9.4.6.1	No, not	7	LUK 13:25!27; LUK 13:27!5; LUK 17:20!16; LUK 22:57!5; LUK 4:12!9; LUK 4:4!9; LUK 9:13!12
Οὐχί	unknown	no	69B	9.4.6.1	No, not	2	LUK 16:30!4; LUK 1:60!7
Οὐχὶ	unknown	no	69D	9.4.6.2	Markers expecting an affirmative answer	3	LUK 23:39!9; LUK 24:32!5; LUK 4:22!20
Οὕτως	unknown	no	61	8.4.5.1	Order, sequence	1	LUK 1:25!2
Οὗτοι	unknown	no	92G	9.2.3.5	Demonstrative pronouns	1	LUK 24:44!5
Οὗτος	unknown	no	92G	9.2.3.5	Demonstrative pronouns	3	LUK 14:30!3; LUK 15:2!11; LUK 7:39!12
Οὗτός	unknown	no	92G	9.2.3.5	Demonstrative pronouns	2	LUK 20:14!10; LUK 9:35!8
Πάντων	unknown	no	59C	8.1.5	All	1	LUK 9:43!9
Πάντως	unknown	no	71C;91B	9.4.4.1;9.4.4.5;9.6.3.2	Certainly, definitely;Uncertain;Markers of emphasis	1	LUK 4:23!5
Πάσχα	unknown	no	51	4.2.2;4.2.2.1;4.2.2.2;4.2.2.3	Celebrate;Ceremony;Festival, show;Social event	1	LUK 22:1!9
Πάτερ	unknown	no	10B	4.1.9.1	Related by birth	4	LUK 15:12!8; LUK 15:18!10; LUK 15:21!6; LUK 16:24!5
Πάτερ	unknown	no	12A	4.9.2	Supernatural being	4	LUK 11:2!7; LUK 22:42!2; LUK 23:34!5; LUK 23:46!8
Πέσετε	unknown	no	15L	7.2.2.5.1	Fall	1	LUK 23:30!6
Πέτρε	unknown	no	93A	9.7.1	Name of a person	1	LUK 22:34!6
Πέτρον	unknown	no	93A	9.7.1	Name of a person	4	LUK 22:8!3; LUK 6:14!5; LUK 8:51!14; LUK 9:28!12
Πέτρος	Peter	yes	93A	9.7.1	Name of a person	13	LUK 12:41!4; LUK 18:28!4; LUK 22:54!14; LUK 22:55!12; LUK 22:58!15; LUK 22:60!4; LUK 22:61!11; LUK 24:12!3; LUK 5:8!4; LUK 8:45!14; LUK 9:20!10; LUK 9:32!3; LUK 9:33!11
Πέτρῳ	unknown	no	93A	9.7.1	Name of a person	1	LUK 22:61!7
Παραλαβὼν	unknown	no	15W	7.3.3	Take somewhere	1	LUK 18:31!1
Παρεγένετο	unknown	no	15F	7.2.3.3.1	Arrive	1	LUK 8:19!1
Παρὰ	unknown	no	89T	4;4.1	Relationships;Social behavior	1	LUK 19:7!7
Παρῆσαν	unknown	no	85A	8.5.3	Be at a place	1	LUK 13:1!1
Πατέρα	unknown	no	10B	4.1.9.1	Related by birth	1	LUK 3:8!13
Πιλάτου	unknown	no	93A	9.7.1	Name of a person	1	LUK 3:1!11
Πιλάτῳ	unknown	no	93A	9.7.1	Name of a person	2	LUK 23:11!19; LUK 23:52!4
Πιλᾶτον	unknown	no	93A	9.7.1	Name of a person	1	LUK 23:1!11
Πιλᾶτος	Pilate	yes	93A	9.7.1	Name of a person	8	LUK 13:1!16; LUK 23:12!9; LUK 23:13!1; LUK 23:20!4; LUK 23:24!2; LUK 23:3!3; LUK 23:4!3; LUK 23:6!1
Πνεῦμα	unknown	no	12A	4.9.2	Supernatural being	2	LUK 1:35!7; LUK 4:18!1
Ποίησον	unknown	no	42B	9.1.2	Do	1	LUK 7:8!28
Πολλὰ	unknown	no	59A	8.1.3;8.1.3.1	Many, much;Plural	1	LUK 3:18!1
Ποντίου	unknown	no	93A	9.7.1	Name of a person	1	LUK 3:1!10
Πορευθέντες	unknown	no	15D	7.2.3.3;7.3.3.3	Leave;Send	4	LUK 13:32!4; LUK 17:14!5; LUK 22:8!7; LUK 7:22!5
Πορεύθητι	unknown	no	15D	7.2.3.3;7.3.3.3	Leave;Send	1	LUK 7:8!16
Πορεύου	unknown	no	15D	7.2.3.3;7.3.3.3	Leave;Send	1	LUK 10:37!15
Ποῖα	unknown	no	92G	9.2.3.5	Demonstrative pronouns	1	LUK 24:19!4
Ποῦ	unknown	no	83B	8.5	Location	4	LUK 17:37!5; LUK 22:11!11; LUK 22:9!5; LUK 8:25!4
Πραγματεύσασθε	unknown	no	57P	6.8.2.7	Earn	1	LUK 19:13!14
Προσέφερον	unknown	no	15W	7.3.3	Take somewhere	1	LUK 18:15!1
Προσέχετε	unknown	no	27F	3.1.2;3.1.2.1;3.1.2.3	Alert;Attention;Mental state	3	LUK 12:1!18; LUK 20:46!1; LUK 21:34!1
Προσδοκῶντος	unknown	no	30C	3.2.7	Expect	1	LUK 3:15!1
Προσελθόντες	unknown	no	15E	7.2.3	Move toward something	1	LUK 20:27!1
Προσεύχεσθε	unknown	no	33M	4.9.5.2	Pray	1	LUK 22:40!8
Προσηνέγκατέ	unknown	no	15W	7.3.3	Take somewhere	1	LUK 23:14!4
Προφήτευσον	unknown	no	"33A"""	4.9.4.6	Prophecy	1	LUK 22:64!6
Προφήτης	unknown	no	53I	4.9.7.1	Religious person	1	LUK 7:16!11
Πρόσθες	unknown	no	59H	8.1.2;8.1.2.2	Add numbers;Count	1	LUK 17:5!7
Πρὶν	unknown	no	67B	8.4.5	Relative time	1	LUK 22:61!20
Πρὸ	unknown	no	67B	8.4.5	Relative time	1	LUK 21:12!1
Πόσοι	unknown	no	59A	8.1.3;8.1.3.1	Many, much;Plural	1	LUK 15:17!6
Πόσον	unknown	no	59B	8.1.3;8.1.3.1;8.1.3.2	Few, little;Many, much;Plural	1	LUK 16:5!13
Πᾶν	unknown	no	59C	8.1.5	All	1	LUK 2:23!7
Πᾶς	unknown	no	59C	8.1.5	All	1	LUK 16:18!1
Πᾶσα	unknown	no	59C	8.1.5	All	1	LUK 11:17!9
Πῦρ	unknown	no	39B	4.1.6	Disunity	1	LUK 12:49!1
Πῶς	unknown	no	92D	9.2;9.2.3	Part of speech;Pronouns	3	LUK 18:24!7; LUK 1:34!7; LUK 20:41!5
