Greek_Word	SemDom	SemDom_Name	Total_Unique_References	Refs
δεῖ	9.4.3;9.4.3.2	Hortative;Moods	4	LUK 12:12!12; LUK 13:14!21; LUK 19:5!22; LUK 2:49!17
δεῖ	9.4.2.3	Necessary	7	LUK 13:33!2; LUK 17:25!3; LUK 21:9!9; LUK 22:37!8; LUK 24:44!18; LUK 24:7!7; LUK 4:43!13
δεῖν	9.4.3;9.4.3.2	Hortative;Moods	1	LUK 18:1!7
δεῖξον	3.2.3.1	Known, unknown	1	LUK 5:14!9
δεῖπνον	5.2.2	Eat	2	LUK 14:12!11; LUK 14:16!8
δεῦρο	7.3.4.7	Extend	1	LUK 18:22!24
δηνάρια	6.8.6	Money	2	LUK 10:35!7; LUK 7:41!9
δηνάριον	6.8.6	Money	1	LUK 20:24!3
δι	8.4.5.2.2;8.4.5.2.3	At the same time;During	1	LUK 5:5!6
δι	7.3.4.7	Extend	1	LUK 11:24!10
δι	9.6.2.5;9.6.2.5.1;9.6.2.5.2	Cause;Reason;Without cause	1	LUK 8:47!13
δι	9.5	Case	2	LUK 17:1!16; LUK 22:22!16
διά	9.6.2.5;9.6.2.5.1;9.6.2.5.2	Cause;Reason;Without cause	2	LUK 11:8!14; LUK 18:5!1
διάβολος	4.9.2	Supernatural being	4	LUK 4:13!6; LUK 4:3!5; LUK 4:6!5; LUK 8:12!12
διάγγελλε	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 9:60!14
διάδος	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 18:22!16
διέθετό	4.5.3.4	Appoint, delegate	1	LUK 22:29!5
διέλιπεν	7.2.7;7.2.7.1	Not moving;Stop moving	1	LUK 7:45!11
διέμενεν	8.4.7	Continue, persevere	1	LUK 1:22!21
διέρχεσθαι	7.2.4	Travel	1	LUK 19:4!15
διέρχεται	7.2.4	Travel	1	LUK 11:24!9
διέστη	7.2.3.3;7.3.3.3	Leave;Send	1	LUK 24:51!8
διέταξεν	4.5.3.2	Command	1	LUK 8:55!10
διήγειραν	5.7	Sleep	1	LUK 8:24!3
διήγησιν	3.5.4	Story	1	LUK 1:1!5
διήνοιγεν	3.5.8	Interpreting messages	1	LUK 24:32!20
διήνοιξεν	3.2.2.7	Willing to learn	1	LUK 24:45!2
διήρχετο	7.2.4	Travel	3	LUK 17:11!10; LUK 19:1!3; LUK 5:15!1
διήρχοντο	7.2.4	Travel	1	LUK 9:6!3
διαβλέψεις	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	1	LUK 6:42!37
διαβόλου	4.9.2	Supernatural being	1	LUK 4:2!6
διαβῆναι	7.2.3.5	Move past, over, through	1	LUK 16:26!15
διαγρηγορήσαντες	5.7	Sleep	1	LUK 9:32!11
διαδίδωσιν	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 11:22!19
διαθήκη	4.1.7	Begin a relationship	1	LUK 22:20!14
διαθήκης	4.1.7	Begin a relationship	1	LUK 1:72!9
διακαθᾶραι	5.6.1	Clean, dirty	1	LUK 3:17!8
διακονήσει	4.5.4.3	Serve	1	LUK 12:37!21
διακονίαν	5	Daily life	1	LUK 10:40!7
διακονεῖν	4.5.4.3	Serve	1	LUK 10:40!22
διακονῶν	4.5.4.3	Serve	3	LUK 22:26!19; LUK 22:27!20; LUK 22:27!8
διακόνει	4.5.4.3	Serve	1	LUK 17:8!10
διαλογίζεσθαι	3.2;3.2.1;3.2.1.1;3.5.1.4	Mind;Think;Think about;Speak with others	1	LUK 5:21!3
διαλογίζεσθε	3.2;3.2.1;3.2.1.1	Mind;Think;Think about	1	LUK 5:22!13
διαλογιζομένων	3.2;3.2.1;3.2.1.1	Mind;Think;Think about	1	LUK 3:15!6
διαλογισμοί	3.2;3.2.1;3.2.1.1	Mind;Think;Think about	1	LUK 2:35!15
διαλογισμοὶ	3.2.5.1	Believe	1	LUK 24:38!10
διαλογισμοὺς	3.2;3.2.1;3.2.1.1	Mind;Think;Think about	2	LUK 5:22!6; LUK 6:8!5
διαλογισμὸν	3.2;3.2.1;3.2.1.1	Mind;Think;Think about	1	LUK 9:47!6
διαλογισμὸς	3.5.1.6.2	Quarrel	1	LUK 9:46!3
διαμαρτύρηται	3.3.3.7	Warn	1	LUK 16:28!6
διαμεμενηκότες	4;4.1	Relationships;Social behavior	1	LUK 22:28!5
διαμεμερισμένοι	4.1.6	Disunity	1	LUK 12:52!10
διαμερίσατε	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 22:17!9
διαμεριζόμενοι	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 23:34!13
διαμερισθήσονται	4.1.6	Disunity	1	LUK 12:53!1
διαμερισθεῖσα	4.1.6	Disunity	1	LUK 11:17!13
διαμερισμόν	4.1.6	Disunity	1	LUK 12:51!14
διανεύων	3.5.6;3.5.6.1	Gesture;Sign, symbol	1	LUK 1:22!18
διανοήματα	3.2;3.2.1;3.2.1.1	Mind;Think;Think about	1	LUK 11:17!6
διανοίᾳ	3;3.1	Language and thought;Soul, spirit	1	LUK 10:27!31
διανοίᾳ	3.2;3.2.1;3.2.1.1	Mind;Think;Think about	1	LUK 1:51!8
διανυκτερεύων	8.4.1	Period of time	1	LUK 6:12!15
διαπερῶσιν	7.2.3.5	Move past, over, through	1	LUK 16:26!25
διαπορευομένου	7.2.4	Travel	1	LUK 18:36!4
διαπορεύεσθαι	7.2.4	Travel	1	LUK 6:1!5
διαρρήσσων	7.8.4	Tear, rip	1	LUK 8:29!23
διασείσητε	6.8.9;6.8.9.1	Dishonest financial practices;Steal	1	LUK 3:14!15
διασκορπίζων	6.8.4.7	Spend	1	LUK 16:1!19
διαστάσης	8.4.2	Take time	1	LUK 22:59!2
διαστρέφοντα	3.2.5;4.3.1.1	Opinion;Bad, immoral	1	LUK 23:2!8
διασώσῃ	2.5	Healthy	1	LUK 7:3!16
διατίθεμαι	4.5.3.4	Appoint, delegate	1	LUK 22:29!2
διαταχθέντα	4.5.3.2	Command	2	LUK 17:10!8; LUK 17:9!9
διατεταγμένον	4.5.3.2	Command	1	LUK 3:13!10
διαφέρετε	8.3.7.9	Value	2	LUK 12:24!23; LUK 12:7!14
διαφθείρει	7.9.3	Destroy	1	LUK 12:33!24
διαφυλάξαι	4.4.4.4	Save from trouble	1	LUK 4:10!11
διαχωρίζεσθαι	7.2.3.3;7.3.3.3	Leave;Send	1	LUK 9:33!5
διδάξει	3.6	Teach	1	LUK 12:12!5
διδάσκαλον	3.6	Teach	2	LUK 6:40!6; LUK 8:49!18
διδάσκαλος	3.6	Teach	2	LUK 22:11!10; LUK 6:40!13
διδάσκειν	3.6	Teach	1	LUK 6:6!12
διδάσκεις	3.6	Teach	2	LUK 20:21!11; LUK 20:21!23
διδάσκοντος	3.6	Teach	1	LUK 20:1!7
διδάσκων	3.6	Teach	7	LUK 13:10!3; LUK 13:22!7; LUK 19:47!3; LUK 21:37!8; LUK 23:5!9; LUK 4:31!10; LUK 5:17!10
διδασκάλων	3.6	Teach	1	LUK 2:46!15
διδαχῇ	3.6	Teach	1	LUK 4:32!5
διδόμενον	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 22:19!18
διδόναι	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	2	LUK 11:13!9; LUK 12:42!22
διδόναι	6.8.4.5	Pay	1	LUK 23:2!16
διεβλήθη	4.7.5.3	Accuse, confront	1	LUK 16:1!16
διεγερθεὶς	5.7	Sleep	1	LUK 8:24!11
διεγόγγυζον	3.5.1.8.5	Complain	2	LUK 15:2!2; LUK 19:7!4
διελάλουν	3.5.1.4	Speak with others	1	LUK 6:11!6
διελαλεῖτο	3.5.1.4	Speak with others	1	LUK 1:65!16
διελεύσεται	7.2.3.5;3.4.2;3.4.2.1;3.4.2.2	Move past, over, through;Feel bad;Sad;Sorry	1	LUK 2:35!7
διελθὼν	7.2.4	Travel	1	LUK 4:30!3
διελογίζετο	3.2;3.2.1;3.2.1.1	Mind;Think;Think about	2	LUK 12:17!2; LUK 1:29!8
διελογίζοντο	3.5.1.4	Speak with others	1	LUK 20:14!6
διεμερίσθη	4.1.6	Disunity	1	LUK 11:18!8
διεπορεύετο	7.2.4	Travel	1	LUK 13:22!2
διεπραγματεύσαντο	6.8.2.7	Earn	1	LUK 19:15!24
διερμήνευσεν	3.5.8	Interpreting messages	1	LUK 24:27!10
διερρήσσετο	7.8.4	Tear, rip	1	LUK 5:6!8
διεσκόρπισεν	7.5.1.1	Separate, scatter	1	LUK 1:51!6
διεσκόρπισεν	6.8.4.7	Spend	1	LUK 15:13!17
διεστραμμένη	4.3.1.1	Bad, immoral	1	LUK 9:41!10
διετήρει	9.1.2.1	Happen	1	LUK 2:51!17
διεταράχθη	3.4.2.4.1	Worried	1	LUK 1:29!6
διεῖλεν	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 15:12!18
διηγήσαντο	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 9:10!5
διηγοῦ	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 8:39!7
διηκόνει	5	Daily life	1	LUK 4:39!14
διηκόνουν	4.3.4.5.2	Care for	1	LUK 8:3!13
διηνοίχθησαν	7.3.6	Open	1	LUK 24:31!3
διηπόρει	3.2.4	Understand	1	LUK 9:7!10
δικαίοις	4.3.1	Good, moral	1	LUK 15:7!18
δικαίους	4.3.1	Good, moral	2	LUK 20:20!7; LUK 5:32!4
δικαίων	4.3.1	Good, moral	2	LUK 14:14!16; LUK 1:17!20
δικαίως	4.3.1	Good, moral	1	LUK 23:41!4
δικαιοσύνῃ	4.3.1	Good, moral	1	LUK 1:75!4
δικαιοῦντες	4.3.1	Good, moral	1	LUK 16:15!7
δικαιώμασιν	4.7.1	Laws	1	LUK 1:6!14
δικαιῶσαι	4.3.1	Good, moral	1	LUK 10:29!4
διορυχθῆναι	7.8.1	Break	1	LUK 12:39!17
διχοτομήσει	7.8.3;7.8.5;4.7.7	Cut;Make hole, opening;Punish	1	LUK 12:46!19
διϊσχυρίζετο	3.3.3.4	Insist	1	LUK 22:59!8
διότι	9.6.2.5;9.6.2.5.1;9.6.2.5.2	Cause;Reason;Without cause	3	LUK 1:13!10; LUK 21:28!11; LUK 2:7!16
διώδευεν	7.2.4	Travel	1	LUK 8:1!8
διώξητε	7.2.6	Pursue	1	LUK 17:23!11
διώξουσιν	4.7.9.6	Oppress	2	LUK 11:49!20; LUK 21:12!12
διὰ	8.4.2	Take time	1	LUK 24:53!3
διὰ	7.3.4.7	Extend	6	LUK 13:24!3; LUK 17:11!11; LUK 18:25!5; LUK 4:30!4; LUK 5:19!14; LUK 6:1!7
διὰ	9.6.2.5;9.6.2.5.1;9.6.2.5.2	Cause;Reason;Without cause	11	LUK 11:8!9; LUK 19:11!8; LUK 1:78!1; LUK 21:17!6; LUK 23:19!3; LUK 23:25!4; LUK 23:8!17; LUK 2:4!20; LUK 6:48!30; LUK 8:6!10; LUK 9:7!11
διὰ	9.5.1.3	Means	2	LUK 1:70!3; LUK 8:4!13
διὰ	9.5	Case	1	LUK 18:31!17
διὰ	9.5	Case	2	LUK 5:19!7; LUK 8:19!16
διὸ	9.6.2.6;9.6.2.6.1	Result;Without result	2	LUK 1:35!17; LUK 7:7!1
δοθήσεται	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	4	LUK 11:9!6; LUK 19:26!7; LUK 6:38!3; LUK 8:18!9
δοθήσεται	9.5	Case	1	LUK 11:29!18
δοθῆναι	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 8:55!12
δοκεῖ	9.4.4.6;9.4.4.6.1	Think so;Unsure	3	LUK 10:36!6; LUK 22:24!10; LUK 8:18!18
δοκεῖν	9.4.4.6;9.4.4.6.1	Think so;Unsure	1	LUK 19:11!15
δοκεῖτε	9.4.4.6;9.4.4.6.1	Think so;Unsure	3	LUK 12:40!9; LUK 12:51!1; LUK 13:4!16
δοκιμάζειν	3.2.2.1	Study	1	LUK 12:56!10
δοκιμάζειν	3.3.1.2	Choose	1	LUK 12:56!18
δοκιμάσαι	3.2.2.1	Study	1	LUK 14:19!10
δοκὸν	6.5.3	Building materials	3	LUK 6:41!15; LUK 6:42!23; LUK 6:42!30
δοξάζοντες	3.5.1.7	Praise	1	LUK 2:20!5
δοξάζων	3.5.1.7	Praise	3	LUK 17:15!12; LUK 18:43!7; LUK 5:25!15
δοξαζόμενος	3.5.1.7	Praise	1	LUK 4:15!8
δουλεύειν	4.5.4.3	Serve	2	LUK 16:13!26; LUK 16:13!6
δουλεύω	4.5.4.3	Serve	1	LUK 15:29!11
δοχὴν	5.2.2	Eat	2	LUK 14:13!3; LUK 5:29!3
δούλη	4.5.4.4	Slave	1	LUK 1:38!6
δούλης	4.5.4.4	Slave	1	LUK 1:48!7
δούλου	4.5.4.4	Slave	1	LUK 12:46!5
δούλους	4.5.4.4	Slave	3	LUK 15:22!7; LUK 19:13!4; LUK 19:15!15
δούλῳ	4.5.4.4	Slave	3	LUK 14:21!16; LUK 17:9!5; LUK 7:8!26
δούς	4.5.3.4	Appoint, delegate	1	LUK 20:2!17
δοῦλε	4.5.4.4	Slave	2	LUK 19:17!6; LUK 19:22!10
δοῦλοι	4.5.4.4	Slave	1	LUK 12:37!3
δοῦλον	4.5.4.4	Slave	8	LUK 14:17!4; LUK 14:23!7; LUK 17:7!5; LUK 20:10!7; LUK 20:11!5; LUK 22:50!10; LUK 7:10!10; LUK 7:3!18
δοῦλος	4.5.4.4	Slave	6	LUK 12:43!3; LUK 12:45!5; LUK 12:47!4; LUK 14:21!4; LUK 14:22!4; LUK 7:2!4
δοῦλόν	4.5.4.4	Slave	1	LUK 2:29!4
δοῦναί	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 11:7!26
δοῦναι	9.1.2.1	Happen	1	LUK 1:73!10
δοῦναι	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 2:24!3
δοῦναι	6.8.4.5	Pay	2	LUK 20:22!5; LUK 22:5!7
δοῦναι	9.5	Case	3	LUK 12:51!5; LUK 17:18!4; LUK 1:77!2
δοῦναι	9.5	Case	1	LUK 12:32!11
δραμὼν	7.2.1.1.1	Run	1	LUK 15:20!21
δραχμὰς	6.8.6	Money	1	LUK 15:8!4
δραχμὴν	6.8.6	Money	2	LUK 15:8!9; LUK 15:9!14
δυνάμει	6.1.2.3.4	Power, force	3	LUK 1:17!9; LUK 4:14!7; LUK 4:36!19
δυνάμεις	4.9.4	Miracle, supernatural power	1	LUK 21:26!13
δυνάμεις	6.1.2.3.4	Power, force	1	LUK 10:13!15
δυνάμενος	9.4.2.1	Can	1	LUK 1:20!7
δυνάμεων	6.1.2.3.4	Power, force	1	LUK 19:37!28
δυνάμεως	6.1.2.3.4	Power, force	2	LUK 21:27!12; LUK 22:69!14
δυνάστας	4.6;4.6.4	Government;Rule	1	LUK 1:52!2
δυνήσονται	9.4.2.1	Can	1	LUK 21:15!10
δυναμένη	9.4.2.1	Can	1	LUK 13:11!14
δυνατός	9.4.2.1	Can	2	LUK 14:31!15; LUK 1:49!6
δυνατὰ	9.4.4.4;9.4.4.9	Impossible;Possible	1	LUK 18:27!8
δυνατὸς	9.4.2.1	Can	1	LUK 24:19!18
δυσβάστακτα	4.4.2	Trouble	1	LUK 11:46!14
δυσκόλως	4.4.2	Trouble	1	LUK 18:24!8
δυσμῶν	8.5.2.8	North, south, east, west	2	LUK 12:54!11; LUK 13:29!6
δυσὶ	8.1.1.1	Cardinal numbers	1	LUK 16:13!4
δυσὶν	8.1.1.1	Cardinal numbers	1	LUK 12:52!13
δωμάτων	6.5.2;3.2.3.1	Parts of a building;Known, unknown	1	LUK 12:3!24
δόγμα	4.5.3.2	Command	1	LUK 2:1!8
δόματα	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 11:13!7
δόξα	8.3.3	Light	1	LUK 2:9!7
δόξα	4.5.5	Honor	2	LUK 14:10!24; LUK 19:38!13
δόξαν	8.3.3	Light	1	LUK 24:26!11
δόξαν	8.3.3;8.3.8;8.3.8.2	Light;Decorated;Glory	1	LUK 9:32!15
δόξαν	3.5.1.7	Praise	1	LUK 17:18!5
δόξαν	8.3.8;8.3.8.2	Decorated;Glory	1	LUK 4:6!14
δόξαν	4.5.5	Honor	1	LUK 2:32!6
δόξης	6.1.2.3.4	Power, force	1	LUK 21:27!14
δόξῃ	8.3.3;8.3.8;8.3.8.2	Light;Decorated;Glory	2	LUK 9:26!20; LUK 9:31!4
δόξῃ	4.5.6.1	High status	1	LUK 12:27!18
δός	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 15:12!9
δότε	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	3	LUK 11:41!4; LUK 12:33!6; LUK 19:24!11
δότε	7.3.4.3;7.5.9	Put;Put down	1	LUK 15:22!18
δύναμαι	9.4.2.1	Can	2	LUK 11:7!24; LUK 14:20!10
δύναμιν	6.1.2.3.4	Power, force	4	LUK 10:19!16; LUK 24:49!23; LUK 8:46!11; LUK 9:1!7
δύναμις	6.1.2.3.4	Power, force	3	LUK 1:35!13; LUK 5:17!30; LUK 6:19!9
δύνανται	9.4.2.1	Can	1	LUK 20:36!5
δύνασαί	9.4.2.1	Can	1	LUK 5:12!29
δύνασαι	9.4.2.1	Can	1	LUK 6:42!2
δύνασθε	9.4.2.1	Can	3	LUK 12:26!5; LUK 16:13!24; LUK 5:34!7
δύναται	9.4.2.1	Can	9	LUK 12:25!6; LUK 14:26!34; LUK 14:27!12; LUK 14:33!14; LUK 16:13!3; LUK 18:26!7; LUK 3:8!21; LUK 5:21!17; LUK 6:39!7
δύνωνται	9.4.2.1	Can	1	LUK 16:26!20
δύνῃ	9.4.2.1	Can	1	LUK 16:2!19
δύο	8.1.1.1	Cardinal numbers	27	LUK 10:1!10; LUK 10:1!15; LUK 10:1!16; LUK 10:17!5; LUK 10:35!6; LUK 12:52!15; LUK 12:6!6; LUK 15:11!6; LUK 17:34!7; LUK 17:35!2; LUK 18:10!2; LUK 19:29!16; LUK 21:2!9; LUK 22:38!8; LUK 23:32!6; LUK 24:13!3; LUK 24:4!12; LUK 2:24!15; LUK 3:11!7; LUK 5:2!3; LUK 7:18!12; LUK 7:41!1; LUK 9:13!21; LUK 9:16!8; LUK 9:3!20; LUK 9:30!4; LUK 9:32!19
δώδεκα	8.1.1.1	Cardinal numbers	10	LUK 18:31!4; LUK 22:3!14; LUK 22:30!18; LUK 22:47!12; LUK 2:42!5; LUK 6:13!13; LUK 8:42!8; LUK 8:43!9; LUK 9:1!4; LUK 9:17!13
δώματος	6.5.2	Parts of a building	1	LUK 17:31!9
δώσει	4.5.3.4	Appoint, delegate	1	LUK 1:32!9
δώσει	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	5	LUK 11:13!20; LUK 11:8!20; LUK 11:8!6; LUK 16:12!12; LUK 20:16!8
δώσουσιν	6.8.4.5	Pay	2	LUK 20:10!14; LUK 6:38!10
δώσω	3.5.1	Say	1	LUK 21:15!3
δώσω	4.5.3.4	Appoint, delegate	1	LUK 4:6!7
δὲ	8.4.5.2.1	After	181	LUK 10:18!2; LUK 10:2!2; LUK 10:26!2; LUK 10:27!2; LUK 10:28!2; LUK 10:31!3; LUK 10:32!2; LUK 10:34!12; LUK 10:37!11; LUK 10:37!2; LUK 10:40!9; LUK 10:7!3; LUK 11:14!7; LUK 11:37!13; LUK 12:15!2; LUK 12:16!2; LUK 12:41!2; LUK 13:12!2; LUK 13:23!11; LUK 13:8!2; LUK 14:16!2; LUK 15:14!2; LUK 15:21!2; LUK 15:27!2; LUK 15:28!8; LUK 15:31!2; LUK 16:22!17; LUK 16:6!2; LUK 16:6!8; LUK 16:7!5; LUK 16:7!9; LUK 17:15!2; LUK 17:17!2; LUK 17:22!2; LUK 17:37!8; LUK 17:6!2; LUK 18:19!2; LUK 18:21!2; LUK 18:22!2; LUK 18:24!2; LUK 18:26!2; LUK 18:27!2; LUK 18:28!2; LUK 18:36!2; LUK 18:37!2; LUK 18:40!11; LUK 18:40!2; LUK 18:41!6; LUK 18:6!2; LUK 19:16!2; LUK 19:33!2; LUK 19:34!2; LUK 19:36!2; LUK 19:8!2; LUK 19:9!2; LUK 1:13!2; LUK 1:22!2; LUK 1:24!2; LUK 1:34!2; LUK 1:38!2; LUK 1:64!2; LUK 20:11!7; LUK 20:13!2; LUK 20:14!2; LUK 20:16!13; LUK 20:17!2; LUK 20:24!10; LUK 20:25!2; LUK 20:3!2; LUK 20:5!2; LUK 21:28!2; LUK 21:8!2; LUK 22:25!2; LUK 22:3!2; LUK 22:35!17; LUK 22:36!2; LUK 22:38!10; LUK 22:38!2; LUK 22:39!13; LUK 22:40!2; LUK 22:43!2; LUK 22:49!2; LUK 22:52!2; LUK 22:54!13; LUK 22:54!2; LUK 22:55!2; LUK 22:56!2; LUK 22:70!2; LUK 22:71!2; LUK 22:9!2; LUK 23:11!2; LUK 23:2!2; LUK 23:20!2; LUK 23:22!2; LUK 23:27!2; LUK 23:3!14; LUK 23:3!2; LUK 23:34!14; LUK 23:4!2; LUK 23:46!17; LUK 23:47!2; LUK 23:56!2; LUK 23:8!2; LUK 24:17!2; LUK 24:18!2; LUK 24:19!6; LUK 24:2!2; LUK 24:31!2; LUK 24:41!2; LUK 24:42!2; LUK 24:5!2; LUK 2:17!2; LUK 2:40!2; LUK 2:6!2; LUK 3:11!2; LUK 3:12!2; LUK 3:13!2; LUK 4:21!2; LUK 4:3!2; LUK 4:39!12; LUK 4:40!16; LUK 4:9!2; LUK 5:2!10; LUK 5:3!18; LUK 5:3!2; LUK 5:34!2; LUK 5:36!2; LUK 5:4!2; LUK 5:5!13; LUK 5:6!9; LUK 6:10!12; LUK 6:2!2; LUK 6:39!2; LUK 6:48!17; LUK 6:8!8; LUK 6:9!2; LUK 7:12!2; LUK 7:14!7; LUK 7:20!2; LUK 7:24!2; LUK 7:4!2; LUK 7:43!11; LUK 7:48!2; LUK 7:50!2; LUK 7:6!2; LUK 7:9!2; LUK 8:10!2; LUK 8:20!2; LUK 8:21!2; LUK 8:24!10; LUK 8:25!2; LUK 8:25!9; LUK 8:27!2; LUK 8:28!2; LUK 8:30!11; LUK 8:30!2; LUK 8:33!2; LUK 8:34!2; LUK 8:35!2; LUK 8:36!2; LUK 8:38!2; LUK 8:45!10; LUK 8:48!2; LUK 8:51!2; LUK 9:11!2; LUK 9:12!7; LUK 9:13!2; LUK 9:14!7; LUK 9:16!2; LUK 9:19!2; LUK 9:20!11; LUK 9:20!2; LUK 9:23!2; LUK 9:32!12; LUK 9:34!2; LUK 9:41!2; LUK 9:42!2; LUK 9:54!2; LUK 9:6!2; LUK 9:62!2; LUK 9:9!2
δὲ	9.6.1;9.6.1.1	And, also;Coordinate relations	59	LUK 10:16!13; LUK 11:11!2; LUK 11:16!2; LUK 11:18!2; LUK 11:19!2; LUK 12:11!2; LUK 12:20!17; LUK 12:25!2; LUK 12:30!10; LUK 12:39!2; LUK 12:48!12; LUK 12:48!6; LUK 13:16!2; LUK 13:35!8; LUK 14:12!2; LUK 16:25!25; LUK 18:3!2; LUK 18:7!2; LUK 1:11!2; LUK 1:6!2; LUK 1:8!2; LUK 20:31!7; LUK 21:12!2; LUK 21:16!2; LUK 21:9!2; LUK 22:68!2; LUK 23:10!2; LUK 23:18!8; LUK 23:33!21; LUK 23:36!2; LUK 23:38!2; LUK 23:45!5; LUK 23:49!2; LUK 23:55!2; LUK 24:10!2; LUK 2:35!3; LUK 2:47!2; LUK 3:1!20; LUK 3:14!2; LUK 3:9!2; LUK 4:25!3; LUK 4:38!12; LUK 4:40!2; LUK 4:41!2; LUK 5:10!2; LUK 6:41!2; LUK 6:7!2; LUK 7:41!12; LUK 8:12!2; LUK 8:13!2; LUK 8:14!2; LUK 8:15!2; LUK 8:52!2; LUK 9:19!12; LUK 9:19!9; LUK 9:59!2; LUK 9:61!2; LUK 9:8!3; LUK 9:8!8
δὲ	9.6.1.5	But	154	LUK 10:2!10; LUK 10:20!12; LUK 10:29!2; LUK 10:40!2; LUK 10:41!2; LUK 11:15!2; LUK 11:17!2; LUK 11:20!2; LUK 11:22!2; LUK 11:28!2; LUK 11:34!23; LUK 11:38!2; LUK 11:39!2; LUK 11:39!20; LUK 11:42!26; LUK 11:47!10; LUK 11:48!17; LUK 12:10!14; LUK 12:14!2; LUK 12:2!2; LUK 12:20!2; LUK 12:27!11; LUK 12:28!2; LUK 12:45!2; LUK 12:47!2; LUK 12:48!2; LUK 12:5!2; LUK 12:50!2; LUK 12:56!12; LUK 12:9!2; LUK 13:14!2; LUK 13:15!2; LUK 13:28!27; LUK 14:34!6; LUK 14:4!2; LUK 15:17!14; LUK 15:17!3; LUK 15:20!9; LUK 15:22!2; LUK 15:28!2; LUK 15:29!2; LUK 15:30!2; LUK 15:32!2; LUK 16:15!13; LUK 16:25!2; LUK 16:25!21; LUK 16:29!2; LUK 16:30!2; LUK 16:31!2; LUK 17:17!11; LUK 17:25!2; LUK 17:29!2; LUK 17:35!11; LUK 18:13!2; LUK 18:14!19; LUK 18:15!11; LUK 18:16!2; LUK 18:23!2; LUK 18:39!9; LUK 18:4!8; LUK 19:14!2; LUK 19:26!9; LUK 19:42!15; LUK 19:46!12; LUK 19:47!11; LUK 1:29!2; LUK 20:10!17; LUK 20:12!6; LUK 20:23!2; LUK 20:35!2; LUK 20:37!2; LUK 20:6!2; LUK 21:33!8; LUK 21:36!2; LUK 21:37!10; LUK 21:4!13; LUK 22:26!2; LUK 22:27!13; LUK 22:32!2; LUK 22:33!2; LUK 22:34!2; LUK 22:48!2; LUK 22:51!2; LUK 22:57!2; LUK 22:58!14; LUK 22:60!2; LUK 22:67!10; LUK 22:69!4; LUK 23:18!2; LUK 23:21!2; LUK 23:23!2; LUK 23:25!14; LUK 23:28!2; LUK 23:34!2; LUK 23:35!7; LUK 23:40!2; LUK 23:41!11; LUK 23:5!2; LUK 23:9!8; LUK 24:1!2; LUK 24:16!2; LUK 24:21!2; LUK 24:24!19; LUK 24:3!2; LUK 24:37!2; LUK 24:49!13; LUK 2:19!2; LUK 2:44!2; LUK 3:16!12; LUK 3:17!21; LUK 3:19!2; LUK 4:30!2; LUK 4:43!2; LUK 5:15!2; LUK 5:16!2; LUK 5:22!2; LUK 5:24!2; LUK 5:33!20; LUK 5:35!2; LUK 6:11!2; LUK 6:40!8; LUK 6:41!14; LUK 6:49!2; LUK 6:8!2; LUK 7:28!11; LUK 7:30!2; LUK 7:39!2; LUK 7:44!25; LUK 7:45!6; LUK 7:46!8; LUK 7:47!15; LUK 7:6!8; LUK 8:10!14; LUK 8:23!2; LUK 8:38!15; LUK 8:46!2; LUK 8:50!2; LUK 8:52!8; LUK 8:54!2; LUK 8:56!7; LUK 9:13!10; LUK 9:20!5; LUK 9:25!10; LUK 9:27!2; LUK 9:42!12; LUK 9:45!2; LUK 9:47!2; LUK 9:50!2; LUK 9:55!2; LUK 9:58!17; LUK 9:59!8; LUK 9:60!12; LUK 9:60!2; LUK 9:61!9
